287	010 4910 9161 명의는	가입정보조회
288	010-4626-3496 할인요금은 얼마인가요	월별상세할인내역
289	010-8719-6747 송호준 아들 요금 조회	자녀요금조회방법
290	060 차단 서비스 신청해줘	060발신차단서비스신청방법
291	0캠퍼스	0캠퍼스
292	0캠퍼스 제휴 플로 이용권 할인이 적용되어있는 상태인가요?	0캠퍼스
293	0플랜	0플랜요금제
294	0플랜 100기가와 t플랜 100기가 차이점 알려줘	요금제비교
295	0플랜 라지	0플랜라지요금제
296	0플랜 라지 변경 후 요금	0플랜라지요금제
297	0플랜 라지 요금제	0플랜라지요금제
298	0플랜 라지 요금제는 뭐야?	0플랜라지요금제
299	0플랜 라지 혜택 변경	0플랜라지요금제
300	0플랜 선택약정	선택약정할인제도신청방법
301	0플랜 요금제	0플랜요금제
302	0플랜 혜택	0플랜요금제
303	0플랜 flo데이터	FLO이용방법
304	0플랜라지로 요금제 변경 시 매달 요금이 궁금합니다	0플랜라지요금제
305	0플랜라지인데 웨이브요금 청구가 왜되는거지?	0플랜라지요금제
306	0플랜슈퍼히어로 기간	0플랜슈퍼히어로
307	0플랜스몰요금제는 2GB다 쓰고 나서도 데이터가 무제한이니?	0플랜스몰요금제
308	0플렌	0플랜요금제
309	0플렌 요금제 설명해줘	0플랜요금제
310	0한동	0한동
311	0한동 이용했는데 플로,웨이브 할인이 안됐어요	0한동
312	0한동 할인	0한동
313	0한동 할인 적용?	0한동
314	0한동이 뭐야	0한동
315	1/5에 기기변경했는데 기기값이 아직 1개월 남은 이유가 궁금합니다.	잔여할부조회방법
316	11시 이후에 인터넷이 느려져요	인터넷전화IPTV통화품질상담
317	11월 요금 세부내역	월별상세할인내역
318	12만원나가고또나갓다고요	이중납부
319	12월 소액결제 내역	소액결제구매내역확인방법
320	12프로 기기변경	5G기기변경
321	1년 약정가입가능할까요?	선택약정할인제도약정기간변경
322	1년 재약정	선택약정할인제도재가입조건
323	1년간 요금	요금납부내역확인방법
324	1년계약으로 선택약정해주세요	선택약정할인제도신청방법
325	1월 결제내역 중 소액결제 부분만 미리 납부할 수 있을까요?	소액결제실시간계좌이체선결제
326	1월 납부 되었나요?	요금납부내역확인방법
327	1월 부가사용 내역	부가서비스내역확인방법
328	1월 부가사용금액이 뭐야	부가서비스내역확인방법
329	1월 소액결제 선결제하고싶어	소액결제실시간계좌이체선결제
330	1월 요금 납부 됐는지 봐줘	요금납부내역확인방법
331	1월 요금 납부현황	요금납부방법확인
332	1월달 핸드폰 요금이2번이나 나가서요?	이중납부
333	1월달에 소액결제 2번냇다구여 요금	이중납부
334	1월달에 이중출금 된거 2월달에 그만큼 빼준다고 햇는데 왜 안빼주나여?	과납내역환불
335	1월에 음성리필 안된건가요?	리필쿠폰사용내역확인방법
336	1월에 쿠폰 사용안된건가요?	리필쿠폰사용내역확인방법
337	1월요금 납부 되었나요?	요금납부내역확인방법
338	1월요금 납부확인	요금납부내역확인방법
339	2019년 납부내역조회	요금납부내역확인방법
340	2020년 9월 변경한 요금제?	나의가입정보
341	24개월 선택약정 할인	선택약정할인제도재가입조건
342	24시간 고객센터	폰기능상담24
343	25% 요금할인	선택약정할인제도신청방법
344	25%요금약정할인	선택약정할인제도신청방법
345	25%요금할인	선택약정할인제도신청방법
346	25%요금할인가입	선택약정할인제도신청방법
347	25%할인	선택약정할인제도신청방법
348	25%할인요금제	선택약정할인제도신청방법
349	25퍼센트 요금할인방법	선택약정할인제도신청방법
350	25프로활인	요금약정할인제도
351	26 일까지납부	요금납부일변경방법
352	2월 청구요금 중 애플서비스 요금이 많던데 그게 뭔가요?	T아이폰케어해지방법
353	2월 요금 납부 완료했는데 확인해 줘	요금납부내역확인방법
354	2월 요금 납부했어?	요금납부내역확인방법
355	2월 요금내역서 팩스로 받고 싶어요	요금안내서재발행
356	2월 요금안내서를 팩스로받고싶어	요금안내서재발행
357	2월 요금이 납부됬는지 확인하고 싶어요	요금납부내역확인방법
358	2월 청구 요금 자동이체	자동납부등록및변경
359	2월 청구금은 언제 출금되?	요금납부일변경방법
360	2월 청구된 요금은 언제까지?	요금납부일변경방법
361	2월 청구요금 나오기전에 소액선결제 미리안되나요?	소액결제실시간계좌이체선결제
362	2월달 요금 얼마 나왔어?	요금납부내역확인방법
363	2월부가서비스	부가서비스내역확인방법
