id	document	label
287	010 4910 9161 명의는	0
288	010-4626-3496 할인요금은 얼마인가요	0
289	010-8719-6747 송호준 아들 요금 조회	0
290	060 차단 서비스 신청해줘	0
291	0캠퍼스	0
292	0캠퍼스 제휴 플로 이용권 할인이 적용되어있는 상태인가요?	0
293	0플랜	0
294	0플랜 100기가와 t플랜 100기가 차이점 알려줘	0
295	0플랜 라지	0
296	0플랜 라지 변경 후 요금	0
297	0플랜 라지 요금제	0
298	0플랜 라지 요금제는 뭐야?	0
299	0플랜 라지 혜택 변경	0
300	0플랜 선택약정	0
301	0플랜 요금제	0
302	0플랜 혜택	0
303	0플랜 flo데이터	0
304	0플랜라지로 요금제 변경 시 매달 요금이 궁금합니다	0
305	0플랜라지인데 웨이브요금 청구가 왜되는거지?	0
306	0플랜슈퍼히어로 기간	0
307	0플랜스몰요금제는 2GB다 쓰고 나서도 데이터가 무제한이니?	0
308	0플렌	0
309	0플렌 요금제 설명해줘	0
310	0한동	0
311	0한동 이용했는데 플로,웨이브 할인이 안됐어요	0
312	0한동 할인	0
313	0한동 할인 적용?	0
314	0한동이 뭐야	0
315	1/5에 기기변경했는데 기기값이 아직 1개월 남은 이유가 궁금합니다.	0
316	11시 이후에 인터넷이 느려져요	0
317	11월 요금 세부내역	0
318	12만원나가고또나갓다고요	0
319	12월 소액결제 내역	0
320	12프로 기기변경	0
321	1년 약정가입가능할까요?	0
322	1년 재약정	0
323	1년간 요금	0
324	1년계약으로 선택약정해주세요	0
325	1월 결제내역 중 소액결제 부분만 미리 납부할 수 있을까요?	0
326	1월 납부 되었나요?	0
327	1월 부가사용 내역	0
328	1월 부가사용금액이 뭐야	0
329	1월 소액결제 선결제하고싶어	0
330	1월 요금 납부 됐는지 봐줘	0
331	1월 요금 납부현황	0
332	1월달 핸드폰 요금이2번이나 나가서요?	0
333	1월달에 소액결제 2번냇다구여 요금	0
334	1월달에 이중출금 된거 2월달에 그만큼 빼준다고 햇는데 왜 안빼주나여?	0
335	1월에 음성리필 안된건가요?	0
336	1월에 쿠폰 사용안된건가요?	0
337	1월요금 납부 되었나요?	0
338	1월요금 납부확인	0
339	2019년 납부내역조회	0
340	2020년 9월 변경한 요금제?	0
341	24개월 선택약정 할인	0
342	24시간 고객센터	0
343	25% 요금할인	0
344	25%요금약정할인	0
345	25%요금할인	0
346	25%요금할인가입	0
347	25%할인	0
348	25%할인요금제	0
349	25퍼센트 요금할인방법	0
350	25프로활인	0
351	26 일까지납부	0
352	2월 청구요금 중 애플서비스 요금이 많던데 그게 뭔가요?	0
353	2월 요금 납부 완료했는데 확인해 줘	0
354	2월 요금 납부했어?	0
355	2월 요금내역서 팩스로 받고 싶어요	0
356	2월 요금안내서를 팩스로받고싶어	0
357	2월 요금이 납부됬는지 확인하고 싶어요	0
358	2월 청구 요금 자동이체	0
359	2월 청구금은 언제 출금되?	0
360	2월 청구된 요금은 언제까지?	0
361	2월 청구요금 나오기전에 소액선결제 미리안되나요?	0
362	2월달 요금 얼마 나왔어?	0
363	2월부가서비스	0
364	2월에 청구된 요금 며칠날 빠져나가?	0
365	2월에청구된 요금안내서 재발행	0
366	3월 소액결제 내역	0
367	40000원 할인쿠폰 적용됬나요	0
368	42800원 돌려줘야죠	0
369	42800원 소액결제 1월달꺼 이중출금됫는데여	0
370	45,000원 이상 lte요금제	0
371	45,000원 이상 lte요금제 뭐가 있을까	0
372	4g 요금제로 바꾸고 싶어요	0
373	4g요금제 5g사용자한테 데이터 선물 가능한가요?	0
374	50%요금할인	0
375	50기가요금제	0
376	5g 가족모아	0
377	5g 나눠쓰기	0
378	5g 데이터	0
379	5g 사용 가능?	0
380	5G 사용시작	0
381	5G 요금제 슬림으로 바꾸고 싶어요	0
382	5g 요금제 lte함께쓰기	0
383	5g 요금제가 뭐가 있나 알려줘	0
384	5G 프라임 FLO	0
385	5g 휴대폰 보험할인	0
386	5G 휴대폰보험 할인 혜택	0
387	5G 휴대폰보험할인	0
388	5g X클럽 해제 할수있을까요?	0
389	5G슬림 요금제로 바꾸고 싶어요	0
390	5g요금제	0
391	5g요금제 4G요금제로변경	0
392	5G요금제 변경되나요?	0
393	5g요금제 알려줘	0
394	5g최저요금제	0
395	5G프라임 요금제 사용 시 위브앤데이터 사용은 무료아닌가요?	0
396	5gx 웨이브	0
397	5GX 프라임 요금제 부가서비스 뭐 있어?	0
398	5GX 휴대폰보험 가입 요금	0
399	5GX 휴대폰보험할인	0
400	5gx vr팩 나도 받을 수 있니	0
401	5gx클럽 갤럭시s20	0
402	5GX프라임	0
403	5gx프라임 요금제 웨이브 무료로 언제까지 이용가능해 ?	0
404	5GX프라임 요금제 혜택 알려줘	0
405	65세 이상 통신요금 할인혜택은 있나요?	0
406	65세이상 요금할인혜택?	0
407	70세	0
408	8.7GB는어디에썼니?	0
409	9.7GB를어디에썼니?	0
410	가려진정보	0
411	가입 기간	0
412	가입기간	0
413	가입기간 알려줘	0
414	가입기간?	0
415	가입날짜	0
416	가입날짜알려줘	0
417	가입내역	0
418	가입년도	0
419	가입년수	0
420	가입년수를 알고싶어요	0
421	가입대리점	0
422	가입되어 있는 부가서비스 알려줘	0
423	가입된 내 번호 알려줘	0
424	가입연수	0
425	가입연수 산정	0
426	가입일	0
427	가입일자	0
428	가입일짜	0
429	가입정보	0
430	가입정보 보여줘	0
431	가입정보 알려줘	0
432	가입정보 전체조회	0
433	가입정보를 왜 안 보여줌?	0
434	가입한 내용	0
435	가입한지 얼마나 됐어?	0
436	가입해지	0
437	가장 오래 통화한사람	0
438	가족	0
439	가족 결합	0
440	가족 결합하고 싶어요	0
441	가족 데이터	0
442	가족 데이터 공유	0
443	가족 요금 조회 방법 알려주세요	0
444	가족4명이 가입하면 해택은	0
445	가족간 데이터공유	0
446	가족결합	0
447	가족결합 할인	0
448	가족결합 확인	0
449	가족결합되있나요?	0
450	가족결합신청방법	0
451	가족결합으로 묶여있는데 뭐가 할인 되는건가요??	0
452	가족결합추가	0
453	가족결합할래	0
454	가족결합할인	0
455	가족결헙	0
456	가족공유	0
457	가족끼리 통신요금 할인	0
458	가족끼리데이터 공유하기	0
459	가족나눔	0
460	가족나눔데이터	0
461	가족나눔데이터 열어	0
462	가족나눔데이터나눠쓰기	0
463	가족데이터 먼저 사용하고 싶어요	0
464	가족등록	0
465	가족모아	0
466	가족모아 데이터	0
467	가족모아 데이터 사용할래	0
468	가족모아 데이터 사용현황	0
469	가족모아 데이터 신청	0
470	가족모아데이타 얼마나 쓴거야	0
471	가족모아데이터	0
472	가족모아데이터 결합하고 싶은데요	0
473	가족모아데이터 구성원 기준	0
474	가족모아데이터 문의	0
475	가족모아데이터 사용가능한 최소 요금제	0
476	가족모아데이터 설정방법	0
477	가족모아데이터 신청	0
478	가족모아데이터 최대 받을수있는 양은?	0
479	가족모아데이터를 이용하고 있습니다. 큰애가 대표회선이었는데요, 오늘 큰애가 기기와 요금제를 변경하면서 가족모아데이터 그룹에서 빠져 나갔어요. 그런데 제 T월드 조회하면 큰애한테 받	0
480	가족모아데이터설정	0
481	가족무제한선물인데 우리애들한테두번밖에안되네요.왜그런지알려주세요	0
482	가족요금	0
483	가족요금안내서	0
484	가족인데 왜 횟수가 제한되는거야?	0
485	가족추가	0
486	가족할인	0
487	가족할인 궁금해	0
488	가족할인 신청방법	0
489	가족할인 요금제	0
490	가족합산 30년은 언제적용되나요?	0
491	간말기 잔여요금 좀 알려줘	0
492	간편결제해지	0
493	갚아야할돈	0
494	개명	0
495	개인정보 확인	0
496	개입정보조회	0
497	개통	0
498	개통 날짜 확인	0
499	개통날짜	0
500	개통이력조회	0
501	개통일	0
502	개통정보	0
503	게약기간	0
504	겔러시s21구입 가능한지요	0
505	겔럭시 텝 얼마야	0
506	결일이 언제 인가요	0
507	결재변경	0
508	결재카드변경	0
509	결제 됐다고 문자가 안와요	0
510	결제 바꿀래	0
511	결제 변경	0
512	결제 카드 변경	0
513	결제 한도 상향	0
514	결제계좌 변경	0
515	결제계좌변경	0
516	결제날짜	0
517	결제닝	0
518	결제방법 변경	0
519	결제변경	0
520	결제일 변경	0
521	결제일 변경하고싶어	0
522	결제일 알려줘	0
523	결제일변경	0
524	결제일이 언제야?	0
525	결제일이 언젠지 알려줘	0
526	결제정보변경	0
527	결제중복해결	0
528	결제카드 변경	0
529	결제카드변경하기	0
530	결제한도변경	0
531	결합	0
532	결합가족	0
533	결합상품	0
534	결합상품 더 좋은 거 추천해줘	0
535	결합상품 추천	0
536	결합상품신청	0
537	결합요금할인얼마이고언제부터적용되나요	0
538	결합정보	0
539	결합할인	0
540	계약기간	0
541	계약기간 알려줘	0
542	계약언제끝나?	0
543	계좌 변경	0
544	계좌이체	0
545	계좌이체 변경	0
546	계좌이체 중복	0
547	고객번호	0
548	고객상담	0
549	고객선터 전화번호	0
550	고객센처	0
551	고객센타	0
552	고객센터	0
553	고객센터 번호	0
554	고객센터 번호 알려주세요	0
555	고객센터 연걀	0
556	고객센터 연결방법	0
557	고객센터 연락처	0
558	고객센터 전화 연결	0
559	고객센터 전화번호	0
560	고객센터 전화연결해줘	0
561	고객센터번호	0
562	골드번호	0
563	골드번호 신청법	0
564	골드번호 추첨 예정일이 언제?	0
565	골키퍼	0
566	골키퍼 설정	0
567	공기계만 바꿔도 되나?	0
568	공시지원금	0
569	공시지원금 위약금	0
570	공유데이터 남은양	0
571	공유데이터가 적어요	0
572	공유된 데이터 취소	0
573	공인인증서	0
574	공인인증서 가져오기 번호가 유효허지안다고행ㅎ	0
575	공인인증서 가져오는게 안됩니다.	0
576	공인인증서 유효기간 어떻게 변경하나요??	0
577	공인인증센터	0
578	공짜 데이터줘	0
579	과납	0
580	광고 문자 안오게해줘	0
581	구글결제	0
582	구글콘텐츠사용 내역좀 알려줘	0
583	구글플레이 부가이용해제	0
584	구글플레이컨텐츠 이용내역 알려줘	0
585	구매내역	0
586	국가유공자의 복지감면혜택 내용은?	0
587	국내통화로가 왜 부과된건가용?	0
588	국제문자보내기	0
589	국제전화 할래	0
590	국제전화차단	0
591	군 요금제 언제까지야	0
592	군대요금제	0
593	군요금제	0
594	군인	0
595	군인 요금	0
596	군인 요금제	0
597	그냥 컬러링 바꾸고싶어	0
598	그러니까 부가서비스 이용요금이 왜 그리 많이 나오고 어디서 나온거죠?	0
599	그룹통화	0
600	기가인터넷 요금	0
601	기가인터넷요금	0
602	기계 값	0
603	기계 할부금	0
604	기계값	0
605	기계값 납부	0
606	기계값 얼마 남았어 ?	0
607	기계값상환	0
608	기계값상환할수있나요?	0
609	기계값이 얼마였나요?	0
610	기계값할인	0
611	기계금액	0
612	기계할부금	0
613	기계할부금 얼마 남았어?	0
614	기기 상환	0
615	기기 잔여금	0
616	기기 할부	0
617	기기 할부 얼마나 남았어	0
618	기기 할부 확인	0
619	기기 할부금 부분 수납하고싶어요	0
620	기기 할부금을 선납하고 싶어요	0
621	기기값	0
622	기기값 납부	0
623	기기값 다 지불한거지	0
624	기기값 미리 납부	0
625	기기값 부분납입	0
626	기기값 선납	0
627	기기값 언제까지야	0
628	기기값 얼마나 남았어 ?	0
629	기기값 얼마야?	0
630	기기값 일시납	0
631	기기값 할부 얼마씩 ?	0
632	기기값 할부금 얼마남앗나요?	0
633	기기값선납	0
634	기기값얼마야 ?	0
635	기기값완납	0
636	기기값이 몇개월 남아있으며 총금액은 얼마입니까	0
637	기기대금만 좀 알려줘	0
638	기기반납	0
639	기기반납시 요금	0
640	기기변경	0
641	기기변경 혜택이 있나요?	0
642	기기변경 약정	0
643	기기변경 언제 햇어	0
644	기기변경 위약ㄱ.ㅁ	0
645	기기변경 위약금	0
646	기기변경 접수했는데 기계 언제 택배로오지?	0
647	기기변경 하고 싶어	0
648	기기변경날짜	0
649	기기변경등록	0
650	기기변경시 약정	0
651	기기변경시 위약금	0
652	기기변경시 위약금 발생하니	0
653	기기변경하면 선택약정할인 위약금이 어떻게 되나요?	0
654	기기변경하면 해지금액 얼마임	0
655	기기상환	0
656	기기상환 정보	0
657	기기완납	0
658	기기요금 납부	0
659	기기요금 수납	0
660	기기잔금납부	0
661	기기할부	0
662	기기할부 알려줘	0
663	기기할부금 납부	0
664	기기할부금 상환	0
665	기기할부금 수납하는방법	0
666	기기할부금 얼마 남았어?	0
667	기기할부금 얼마남아써?	0
668	기기할부금 일시불납입	0
669	기기할부금선납방법	0
670	기기할부잔금 납부	0
671	기기할인약정 재가입	0
672	기변시 위약금 알려줘	0
673	기변하게되면 약정위약금 있어요?	0
674	기본 요금	0
675	기본료 할인	0
676	기본요금제	0
677	기존 약정 연장하는법 알려줘	0
678	기존 요금제	0
679	기준 번호	0
680	기준 회선 변경	0
681	나 가입년 얼마나 됐어?	0
682	나 가족결합 7년인 이유좀 알려줘	0
683	나 데이터 선물 해줘	0
684	나 데이터좀 줄래?	0
685	나 말고 내 아들!	0
686	나 미성년자야?	0
687	나 약정이 언제까지야	0
688	나 언제부터 skt 가족이야?	0
689	나 요금 냈어?	0
690	나 요금 완납했어?	0
691	나 요금제 바꾸려고 하는데 미성년자 혼자 가능해?	0
692	나눠쓰기	0
693	나눠쓰기 데이터	0
694	나와 결합 되어있는 가족	0
695	나와 결합된 가족	0
696	나의 가입년도	0
697	나의 가입정보 알려줘	0
698	나의 결제방법 확인	0
699	나의 남은 약정	0
700	나의 부가서비스	0
701	나의 부가서비스 보여줘	0
702	나의 약정기간은 얼마나 남았나요?	0
703	나의 요금제	0
704	나의 요금제 약정기간 알려줘	0
705	나의 워치번호보기알려줘	0
706	나의 자동이체 정보	0
707	나의 통신요금 할인금액은	0
708	나의 할부내역	0
709	나의 할인요금은	0
710	나의 해지 위약금은 얼마일까?	0
711	나의 해택	0
712	나의 mvoip 량	0
713	나의부가서비스가입정보알려줘	0
714	나의요금제	0
715	나의청구일은언제야	0
716	나한테 전화줘	0
717	나한테는 유료부가서비스로 뜨는데 돈 나가는건지확인해줄 수 있어?	0
718	나회원탈퇴언제되	0
719	남아있는 할부요금	0
720	남은 기기값	0
721	남은 기기값 한번에 내려면 어떻게 해야해?	0
722	남은 기기할부금	0
723	남은 단말기 할부금	0
724	남은 단말기 할부금을 알고싶어요	0
725	남은 단말기값	0
726	남은 단말할부금은	0
727	남은 약정 개월 수	0
728	남은 약정기간	0
729	남은 약정일	0
730	남은 할부	0
731	남은 할부 개월수 알려줘	0
732	남은 할부 개월수와 할부요금 알려줘	0
733	남은 할부 내는 방법	0
734	남은 할부금	0
735	남은 할부금 알려줘	0
736	남은 할부금 조회	0
737	남은 할부원금	0
738	남은 휴대폰 개월수는??	0
739	남은 휴대폰 할부기간	0
740	남은기기할부	0
741	남은단말기요금	0
742	남은단말기할부금 조회하고싶어요	0
743	남은할부	0
744	남은할부금	0
745	남은할부금 알려줘	0
746	남은할부금액	0
747	남은할부기간	0
748	남은할부요금얼마야?	0
749	남은휴대폰할부금	0
750	납 부내역	0
751	납기일 변경	0
752	납기일설정	0
753	납부 계좌 변경	0
754	납부 된건가요?	0
755	납부 세부내역	0
756	납부 소득공제	0
757	납부 신용카드 변경	0
758	납부 카드 변경	0
759	납부 현황	0
760	납부가능일 지정하기	0
761	납부가능일을 2월 25일은 안되나요?	0
762	납부가능일자	0
763	납부가능일자 변경	0
764	납부가능일자 선택	0
765	납부가능일지정해줘	0
766	납부기간 미룰수없을까	0
767	납부기록	0
768	납부기일변경	0
769	납부기한 변경	0
770	납부기한연기	0
771	납부내역	0
772	납부내역 조회	0
773	납부되었나요?	0
774	납부를 미루면안되나요?	0
775	납부방법변경	0
776	납부방식 변경	0
777	납부변경일	0
778	납부일 변경 언제 빠져나가?	0
779	납부일 변경해줘	0
780	납부일 연장	0
781	납부일변경	0
782	납부일설정	0
783	납부일연장	0
784	납부일은	0
785	납부일이언제야?	0
786	납부일자가 언제야?	0
787	납부일자변경	0
788	납부일자알려줘	0
789	납부정보	0
790	납부카드변경	0
791	납부한 요금	0
792	내 결합할인	0
793	내 결합할인 알려죠	0
794	내 기기정보	0
795	내 기종이 머야	0
796	내 데이터 함께 쓰기 용량	0
797	내 번호 알려줘	0
798	내 보험	0
799	내 부가서비스 뭐야?	0
800	내 부가서비스 알려줘	0
801	내 소액결제 한도	0
802	내 아이디	0
803	내 아이디 알려줘	0
804	내 약정	0
805	내 요금이 제대로 납부되었니?	0
806	내 요금제	0
